"name","pos","age","nat","p","sb","g","a","sh","so","fc","fa","yc","rc","num"
"Martín Cáceres","D","36","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sergi Gómez","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Dalmau","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dani Alves","D","40","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"Gerard Piqué","D","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"Carles Puyol","D","45","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"Adriano","D","39","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
"Gabriel Milito","D","43","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"Maxwell","D","42","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"Eric Abidal","D","44","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"Sergi Roberto","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
"Andreu Fontàs","D","34","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32"
"Marc Muniesa","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46"
"Aleksandr Hleb","M","42","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ilie Sánchez","M","33","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martí Riverola","M","33","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Víctor Vázquez","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edua Oriol","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xavi","M","44","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
"Andrés Iniesta","M","39","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"Seydou Keita","M","44","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15"
"Sergio Busquets","M","35","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"Jonathan dos Santos","M","33","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28"
"Gai Yigaal Assulin","M","32","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"Victor Sánchez","F","21","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cristian Tello","F","32","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nolito","F","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Villa","F","42","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"Zlatan Ibrahimovic","F","42","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9"
"Lionel Messi","F","36","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"Bojan Krkic","F","33","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"Benja","F","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"Pedro","F","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"Jeffrén Suárez","F","36","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"Jonatan Soriano","F","38","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36"
