"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Dani Alves","D","40","Brazil","30","4","0","6","24","6","56","37","2","0","2"
"Gerard Piqué","D","37","Spain","28","1","2","0","15","4","14","14","4","1","3"
"Carles Puyol","D","45","Spain","13","1","1","0","2","1","11","8","3","0","5"
"Marc Bartra","D","33","Spain","8","5","0","0","1","0","6","3","1","0","15"
"Jordi Alba","D","34","Spain","29","2","2","5","7","3","34","31","3","0","18"
"Martín Montoya","D","32","Spain","15","4","1","2","4","2","15","5","0","0","19"
"Adriano","D","39","Brazil","23","5","5","1","17","8","25","12","3","0","21"
"Eric Abidal","D","44","France","5","3","0","0","0","0","0","0","0","0","22"
"Sergi Gómez","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26"
"Sergi Roberto","D","31","Spain","1","1","0","0","0","0","0","0","0","0","28"
"Carles Planas","D","32","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"Cesc Fàbregas","M","36","Spain","32","2","11","11","50","23","32","35","7","0","4"
"Xavi","M","44","Spain","30","6","5","8","34","13","4","22","0","0","6"
"Andrés Iniesta","M","39","Spain","31","7","3","16","35","13","15","45","4","0","8"
"Thiago Alcantara","M","32","Spain","27","12","2","5","17","5","21","18","4","0","11"
"Jonathan dos Santos","M","33","Mexico","3","3","0","0","1","0","1","1","0","0","12"
"Javier Mascherano","M","39","Argentina","25","4","0","0","2","0","25","13","2","1","14"
"Sergio Busquets","M","35","Spain","31","6","1","2","1","1","30","51","9","0","16"
"Alex Song","M","36","Cameroon","20","3","1","0","3","3","24","10","3","0","25"
"David Villa","F","42","Spain","28","11","10","5","45","25","13","18","1","0","7"
"Alexis Sánchez","F","35","Chile","29","11","8","9","32","19","38","56","4","0","9"
"Lionel Messi","F","36","Argentina","32","4","46","12","163","80","12","74","1","0","10"
"Pedro","F","36","Spain","28","5","7","6","41","22","23","31","3","0","17"
"Gerard Deulofeu","F","29","Spain","1","1","0","0","0","0","1","0","0","0","27"
"Cristian Tello","F","32","Spain","22","10","7","4","33","12","3","8","0","0","37"
