"","name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"1","Douglas ","D","30","Brazil","1","1","0","0","0","0","0","1","0","0","2"
"2","Gerard Piqué","D","33","Spain","30","0","2","1","13","6","19","8","12","0","3"
"3","Dani Alves","D","37","Brazil","29","5","0","4","16","4","39","19","6","0","6"
"4","Marc Bartra","D","29","Spain","13","9","2","1","5","2","3","5","0","0","15"
"5","Jordi Alba","D","31","Spain","31","2","0","6","7","2","20","17","2","0","18"
"6","Adriano","D","35","Brazil","8","4","0","1","1","0","7","6","0","0","21"
"7","Thomas Vermaelen","D","34","Belgium","10","4","1","0","3","3","4","6","2","0","23"
"8","Jérémy Mathieu","D","36","France","21","9","0","2","7","3","8","6","2","0","24"
"9","Ivan Rakitic","M","32","Croatia","36","6","7","2","45","14","39","50","3","0","4"
"10","Sergio Busquets","M","32","Spain","35","1","0","4","6","2","30","66","6","0","5"
"11","Arda Turan","M","33","Turkey","18","9","2","3","11","4","21","15","5","0","7"
"12","Andrés Iniesta","M","36","Spain","28","3","1","2","23","6","20","38","2","0","8"
"13","Rafinha","M","27","Brazil","6","3","1","0","2","2","3","5","0","0","12"
"14","Javier Mascherano","M","36","Argentina","32","1","0","0","3","1","27","21","9","1","14"
"15","Sergi Roberto","M","28","Spain","31","10","0","5","16","3","17","22","1","0","20"
"16","Sergi Samper","M","25","Spain","1","1","0","0","0","0","0","0","0","0","26"
"17","Cámara","M","26","Peru","0","0","0","0","0","0","0","0","0","0","27"
"18","Gerard Gumbau","M","25","Spain","3","3","0","0","0","0","0","0","0","0","28"
"19","Wilfrid Kaptoum","M","24","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34"
"20","Carles Aleñá","M","22","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37"
"21","Luis Suárez","F","33","Uruguay","35","0","40","16","137","70","41","59","6","0","9"
"22","Lionel Messi","F","33","Argentina","33","2","26","16","158","75","13","61","3","0","10"
"23","Neymar","F","28","Brazil","34","0","24","12","124","61","48","130","6","0","11"
"24","Munir El Haddadi","F","25","Spain","15","7","3","2","17","6","12","12","0","0","17"
"25","Sandro Ramírez","F","25","Spain","10","6","0","1","10","2","4","5","0","0","19"
"26","Aleix Vidal","F","31","Spain","9","3","0","1","1","0","8","4","1","0","22"
"27","Daniel Romera","F","25","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36"
