"","Name","POS","Age","HT","WT","NAT","APP","SUB","G","A","SH","ST","FC","FA","YC","RC"
"1","Gerard Piqué3","D","33","6' 4""","163 lbs","Spain","30","1","2","0","18","5","23","11","9","0"
"2","Jordi Alba18","D","31","5' 7""","150 lbs","Spain","33","3","2","8","15","5","35","21","8","0"
"3","Lucas Digne19","D","27","5' 10""","161 lbs","France","12","4","0","2","2","1","12","7","2","0"
"4","Samuel Umtiti23","D","26","6' 0""","163 lbs","France","25","1","1","0","9","5","22","25","7","0"
"5","Yerry Mina24","D","26","6' 5""","205 lbs","Colombia","5","1","0","1","3","1","6","6","2","0"
"6","Thomas Vermaelen25","D","34","6' 0""","174 lbs","Belgium","14","2","0","1","3","2","9","3","3","0"
"7","Marc Cucurella36","D","22","5' 9""","148 lbs","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","David Costas39","D","25","6' 0""","157 lbs","Spain","0","0","0","0","0","0","0","0","0","0"
"9","Jorge Cuenca41","D","20","6' 3""","163 lbs","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Nélson Semedo2","M","26","5' 10""","148 lbs","Portugal","24","7","0","0","3","2","12","21","1","0"
"11","Ivan Rakitic4","M","32","6' 0""","172 lbs","Croatia","35","4","1","5","28","11","33","46","4","0"
"12","Sergio Busquets5","M","32","6' 2""","161 lbs","Spain","31","1","1","4","5","4","36","58","8","0"
"13","Denis Suárez6","M","26","5' 9""","150 lbs","Spain","18","14","2","2","12","5","6","10","1","0"
"14","Andrés Iniesta8","M","36","5' 7""","159 lbs","Spain","30","5","1","2","16","6","15","40","1","0"
"15","Philippe Coutinho14","M","28","5' 8""","150 lbs","Brazil","18","2","8","5","37","20","12","32","1","0"
"16","Paulinho15","M","32","6' 0""","157 lbs","Brazil","34","13","9","2","45","22","32","33","2","0"
"17","Sergi Roberto20","M","28","5' 10""","150 lbs","Spain","30","6","1","7","8","4","16","26","3","2"
"18","André Gomes21","M","27","6' 2""","183 lbs","Portugal","16","10","0","0","7","0","16","5","1","0"
"19","Carles Aleñá26","M","22","5' 11""","161 lbs","Spain","0","0","0","0","0","0","0","0","0","0"
"20","Oriol Busquets30","M","21","6' 1""","170 lbs","Spain","0","0","0","0","0","0","0","0","0","0"
"21","José Arnáiz37","M","24","5' 9""","152 lbs","Spain","1","1","0","0","0","0","1","0","0","0"
"22","Iñigo Ruiz de Galarreta40","M","27","5' 9""","150 lbs","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Luis Suárez9","F","33","6' 0""","190 lbs","Uruguay","33","1","25","12","121","56","46","50","8","0"
"24","Lionel Messi10","F","33","5' 7""","159 lbs","Argentina","36","4","34","12","197","96","17","80","3","0"
"25","Ousmane Dembélé11","F","23","5' 10""","148 lbs","France","17","5","3","6","20","10","10","18","2","0"
"26","Paco Alcácer17","F","27","5' 9""","157 lbs","Spain","17","9","4","3","15","7","2","9","0","0"
"27","Aleix Vidal22","F","31","5' 10""","152 lbs","Spain","15","11","1","1","8","6","2","12","0","0"
