"name","pos","age","nat","p","sb","g","a","sh","so","fc","fa","yc","rc","num"
"Sergiño Dest","D","23","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"Gerard Piqué","D","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"Ronald Araújo","D","24","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"Clément Lenglet","D","28","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15"
"Jordi Alba","D","34","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"Sergi Roberto","D","31","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"Samuel Umtiti","D","30","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
"Júnior Firpo","D","27","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24"
"Óscar Mingueza","D","24","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28"
"Santiago Ramos","D","23","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32"
"Sergio Busquets","M","35","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"Miralem Pjanic","M","33","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"Ricard Puig","M","24","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"Philippe Coutinho","M","31","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"Pedri","M","21","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"Matheus Fernandes","M","25","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"Frenkie de Jong","M","26","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21"
"Moriba Kourouma","M","21","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27"
"Alex Collado","M","24","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30"
"Antoine Griezmann","F","32","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"Martin Braithwaite","F","32","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9"
"Lionel Messi","F","36","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"Ousmane Dembélé","F","26","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"Francisco Trincão","F","24","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"Ansu Fati","F","21","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"Konrad De La Fuente","F","22","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
